MAP_SYMBOL,GIS_CODE,STRAT_NAME,STRAT_UNIT_DESC
"Lwec","L-wcec","Cathedral Rock Formation","Quartzite, medium-grained, locally cross-bedded; minor iron-rich or volcaniclastic members."
"Lwec1","L-wcec--01","Cathedral Rock Formation unit 1","Quartz+barite+magnetite rock."
"Lwec2","L-wcec--02","Cathedral Rock Formation unit 2","Quartzite or quartzofeldspathic rock, red, volcaniclastic, locally magnetite-rich and/or pyritic."
"Lwec3","L-wcec--03","Cathedral Rock Formation unit 3","Magnetite quartzite, layered."
"Lwec4","L-wcec--04","Cathedral Rock Formation unit 4","Quartzite, clean or feldspathic, locally cross-bedded."
"Lweo","L-wceo","Tommie Wattie Formation","Psammite, in lower part; grades up to pelite, aluminous, andalusite-rich."
"Lweo2","L-wceo--02","Tommie Wattie Formation unit 2","Psammite unit, fine grained, dark grey."
"Lweo3","L-wceo--03","Tommie Wattie Formation unit 3","Metasandstone member, feldspathic, heavy-mineral (magnetite) layering, sedimentary structures."
"Lweo4","L-wceo--04","Tommie Wattie Formation unit 4","Metasediment, magnetite+garnet-rich."
"Lweo5","L-wceo--05","Tommie Wattie Formation unit 5","Pelite, andalusite-rich, upper unit."
"Lweo6","L-wceo--06","Tommie Wattie Formation unit 6","Meta-conglomerate, volcaniclastic."
"Lweo7","L-wceo--07","Tommie Wattie Formation unit 7","Calcsilicate rock, layered, feldspathic."
"Lwep","L-wcep","Peryhumuck Formation","Metasediment, alkali-feldspar+calc-silicate.  Disseminated magnetite or haematite, evaporitic or diagenetic pseudomorphs, shallow-water to emergent sedimentary structures."
"Lwep1","L-wcep--01","Peryhumuck Formation unit 1","Psammite, grey, dark brown weathering, fine- to medium-grained, local sedimentary structures."
"Lwep6","L-wcep--06","Peryhumuck Formation unit 6","Calc-silicate unit."
"Lwep7","L-wcep--07","Peryhumuck Formation unit 7","Carbonate unit."
"Lwep8","L-wcep--08","Peryhumuck Formation unit 8","Mn-rich piemontite/garnet-rich member."
"Lwepa","L-wcepa","Waukaloo Member","Schist, psammitic, fine-grained, grey."
"Lwepf","L-wcepf","Faugh-a-Ballagh Member","Calc-albitite and plagioclase-rich metasediment in quartzofeldspathic metasediment; minor amphibolite and ironstone."
"Lwepf1","L-wcepf-01","Faugh-a-Ballagh Member unit 1","Metasiltstone, thinly planar-layered to laminated, dark grey; locally with epidote."
"Lwepf2","L-wcepf-02","Faugh-a-Ballagh Member unit 2","Metasediment, alkali-feldspar-rich, small-sclae cross-bedding, ripples, flaser bedding, local evaporite pseudomorphs."
"Lwepf3","L-wcepf-03","Faugh-a-Ballagh Member unit 3","Calc-feldsparite, fine grained, planar-layered or structureless."
"Lwepf4","L-wcepf-04","Faugh-a-Ballagh Member unit 4","Potassium-feldsparite, fine-grained, with biotite."
"Lwepk","L-wcepk","Koolka Ironstone Member","Ironstone, magnetite-rich."
"Lwepw","L-wcepw","Whey Whey Member","Psammopelite."
"Lwepw1","L-wcepw-01","Whey Whey Member unit 1","Psammopelite; psammite, thin interbeds with sedimentary structures; lower unit."
"Lwepw2","L-wcepw-02","Whey Whey Member unit 2","Psammopelite, quartz+feldspar+biotite, thinly planar-bedded, slightly migmatitic; upper unit."
"Lwet","L-wcet","Toraminga Formation","Metasediment, quartz+mica; alkali-feldsparite; calc-silicate rock."
"Lwet1","L-wcet--01","Toraminga Formation unit 1","Metasandstone, feldspathic, basal unit."
"Lwet2","L-wcet--02","Toraminga Formation unit 2","Calc-silicate member, feldspathic, thin."
"Lwet3","L-wcet--03","Toraminga Formation unit 3","Alkali-feldsparite member, thin."
"Lwet4","L-wcet--04","Toraminga Formation unit 4","Metasandstone, tuffaceous, thin."
"Lwetb","L-wcetb","Bewooloo Member","Schist, quartz+mica; local quartz metasediment, carbonate with mafic clasts, exhalite, calcsilicate, metasandstone, metabasalt."
"Lwetb1","L-wcetb-01","Bewooloo Member unit 1","Metasediment, quartzofeldspathic, characterised by quartz-rich layers."
"Lwetb2","L-wcetb-02","Bewooloo Member unit 2","Carbonate-rich unit; variable amount of fragmental and conglomeratic material including basic volcanic cobbles."
"Lwetb3","L-wcetb-03","Bewooloo Member unit 3","Quartz+grunerite+garnet rock, manganiferous, banded; interpreted exhalite."
"Lwetb4","L-wcetb-04","Bewooloo Member unit 4","Metasediment, calc-silicate-rich, discrete layers."
"Lwetb5","L-wcetb-05","Bewooloo Member unit 5","Metasandstone, ripple cross-bedded, flaser-bedded."
"Lwetb6","L-wcetb-06","Bewooloo Member unit 6","Metasediment, calc-silicate, albite-rich, characterised by ribbon-quartz as layers, lenses and pods; carbonate, trace."
"Lwh","L-wrh","Mount Howden Subgroup","Psammopelite; lesser psammite and pelite."
"Lwha","L-wrha","Alconie Formation","Pelite, lower part, grading up into psammopelite, graphitic, dark grey."
"Lwha1","L-wrha--01","Alconie Formation unit 1","Pelite, graphitic, chiastolite-bearing, basal unit."
"Lwha2","L-wrha--02","Alconie Formation unit 2","Calc-silicate unit, dark grey."
"Lwhd","L-wrhd","Dayana Formation","Schist, phyllitic, pale grey. Conatins andalusite+sillimanite+staurolite in Mount Howden area."
"Lwhm","L-wrhm","Mooleulooloo Formation","Psammite, feldspathic, locally tuffaceous. U-Pb age 1648+/-6 Ma."
"Lwl","L-wal","Larry Macs Subgroup","Metasiltstone, psammite, marble, calcsilicate rock; variably sulphidic, base-metal-anomalous, graphitic or tuffaceous."
"Lwlb","L-walb","Bimba Formation","Metasiltstone and metapsammite, quartz+biotite+albite+-muscovite+-sillimanite; calc-silicate; marble; variably pyritic; base-metal-anomalous."
"Lwlb1","L-walb--01","Bimba Formation unit 1","Quartzite, medium to coarse-grained, clean, white to pale brown; basal unit."
"Lwlb2","L-walb--02","Bimba Formation unit 2","Metasiltstone, epidote-bearing; lower unit."
"Lwlb3","L-walb--03","Bimba Formation unit 3","Psammite unit, with biotite; characterised by scattered pebbles."
"Lwlb4","L-walb--04","Bimba Formation unit 4","Psammite unit, with biotite, structureless ""salt 'n' pepper"" texture."
"Lwlb5","L-walb--05","Bimba Formation unit 5","Calcsilicate, metasiltstone or marble, sulphide (pyrite, pyrrhotite)-rich unit; locally massive sulphide rock; gossanous or earthy-ferruginous where weathered."
"Lwlb6","L-walb--06","Bimba Formation unit 6","Marble, calcsilicate, feldsparite, thinly interlayered; locally marble, thick-bedded; upper unit."
"Lwlp","L-walp","Plumbago Formation","Metasiltstone, thinly planar-bedded, fine-grained, graphitic, grey; locally tuffaceous. U-Pb age 1693+/-3 Ma."
"Lwp","L-wp","Paragon Group","Claystone; sandy claystone; fine grained siliciclastic; ironstone, sulphide rich; BIF; local calc-silicate rock."
"Lwr","L-wr","Strathearn Group","Psammopelite; lesser psammite and pelite. U-Pb age of tuffaceous unit 1648+/-6 Ma."
"Lws","L-ws","Sundown Group","Siliciclastic sandy to clayey metasediments, thin to thick-bedded; local calcsilicate ellipsoids.  Cross and graded bedding. 1672+/-7 Ma (maximum age)."
"Lwt","L-wt","Thackaringa Group","Gneiss, quartz-feldspar-biotite, foliated; calc-albitite and quartz-plagioclase rich metasediment; metavolcanics 1699+/-10 Ma; ironstone; calc-silicate; minor Pb-Zn-Ag-Cu mineralisation; minor amphibolite. Age range 1720 - 1690+/-11Ma."
"Lwtb","L-wt-b","Lady Brassey Formation","Metasediments, albitic."
"Lwtc","L-wt-c","Cues Formation","Metasediments, psammopelitic to psammitic; metasediment, albitic, minor; basic gneiss bodies (meta-dolerite sills), generally abundant. Characterised by stratiform horizons of Fe-gnt-qtz, qtz-Fe sulphide and qtz-mag rocks."
"Lwth","L-wt-h","Himalaya Formation","Metasediments, psammitic and albitic."
"Lwv","L-wav","Raven Hill Subgroup","Psammopelite, psammite and pelite."
"Lwvb","L-wavb","Black Maria Formation","Psammite and psammopelite, dark grey, fine grained. layered, locally feldspathic, local calc-silicate ellipsoids."
"Lwvb1","L-wavb--01","Black Maria Formation unit 1","Pelite, graphitic; basal unit."
"Lwvb2","L-wavb--02","Black Maria Formation unit 2","Psammite unit, feldspar-rich."
"Lwvo","L-wavo","Oonartra Creek Formation","Psammopelite and pelite; psammite, thin layers. Garnetiferous."
"Lwvo1","L-wavo--01","Oonartra Creek Formation unit 1","Pelite, graphitic; basal unit."
"Lwvo2","L-wavo--02","Oonartra Creek Formation unit 2","Pelite; coticule and layered quartz+grunerite ironstone layers."
"Lww","L-wcw","Wiperaminga Subgroup","Metasediments, albitised, oxidised, magnetite-bearing; metasediments, schistose; psammopelite, planar-layered, flaggy.  Local iron formation, some barite-bearing, and quartzite, magnetite- and barite-bearing."
"Lwwg","L-wcwg","George Mine Formation","Composite gneiss and albitite, interlayered; minor iron formation, exhalite, sulphidic metasediment, quartzite, psammopelite."
"Lwwg1","L-wcwg--01","George Mine Formation unit 1","Gneiss, quartzofeldspathic, barite-bearing."
"Lwwg2","L-wcwg--02","George Mine Formation unit 2","Gneiss, quartzofeldspathic, magnetite-rich; iron formation."
"Lwwg3","L-wcwg--03","George Mine Formation unit 3","Quartz+magnetite+garnet rock, manganiferous; interpreted exhalite."
"Lwwg4","L-wcwg--04","George Mine Formation unit 4","Metasediment, sulphidic."
"Lwwg5","L-wcwg--05","George Mine Formation unit 5","Quartzite, feldspathic but quartz-dominant."
"Lwwg6","L-wcwg--06","George Mine Formation unit 6","Psammopelite, commonly migmatitic; upper member."
"Lwwg7","L-wcwg--07","George Mine Formation unit 7","Calcsilicate unit."
"Lx","L--x","Wallaroo Group","Schist, quartz-feldspar-mica; argillite; rhyolite, porphyritic, fine grained, A-type; limestone; siltstone; felsic volcanics; sandstone, medium to coarse grained, poorly sorted; amphibolite; dolerite; basalt. 1772-1735 Ma."
"Lx5","L--x----05","Wallaroo Group unit 5","Pillow-basalt; tuff; amphibolite; siltstone; chert; felsic volcanic rock, porphyritic.  Max. dep. in siltstone 1765Ma. Olympic Domain."
"Lxe","L--x-e","Weetulta Formation","Acid volcanics."
"Lxem","L--x-em","Moonta Porphyry Member","Rhyolite, fine-grained, foliated, pale grey to reddish pink porphyritic rhyolite. Extensively recrystallised."
"Lxeo","L--x-eo","Mona Volcanics Member","Acid volcanics."
"Lxew","L--x-ew","Wardang Volcanics Member","Acid volcanics.  Phenocrysts of calcic-plagioclase, usually sericitised with carbonate, scapolite and chlorite inclusions.  Matrix of K-feldspar, quartz, plagioclase, biotite. Inferred age ~1734 Ma."
"Lxt","L--x-t","Matta Formation","Mafic volcanics."
"Lxta","L--x-ta","Wandilta Amphibolite Member","Amphibolite; plagioclase-hronblende-biotite rock, layered."
"Lxtr","L--x-tr","Renowden Metabasalt Member","Metabasalt."
"Lxtw","L--x-tw","Willamulka Metabasalt Member","Massive and amygdaloidal basalt with relict textures, fine to medium grained, green to grey."
"Lxw","L--x-w","Wandearah Formation","Argillite, muscovite; quartz siltstone; metasediments, alkali-feldspar, carbonate, calcsilicate, iron-rich, carbonaceous; metasandstone."
"Lxw1","L--x-w--01","Wandearah Formation unit 1","Red-brown medium-coarse poorly sorted thin-bedded sandstone. Roopena (PORT AUGUSTA)."
"Lxw2","L--x-w--02","Wandearah Formation unit 2","F.g. planar-parallel laminated alkali-feldspar dominated metasediments, often with magnetite/haematite, graphite, calcsilicates. Used in Maitland-Wallaroo data package."
"Lxwa","L--x-wa","Aagot Member","Layered metasandstone, sandy or tuffaceous argillite, minor calcsilicate and albitic rocks. Lower to middle amphibolite facies metamorphism."
"Lxwd","L--x-wd","Doora Member","Metasediments, iron-rich and calcsilicate."
"Lxwd1","L--x-wd-01","Doora Member unit 1","Amphibolite in Doora Schist (now Doora Member): WHYALLA sheet."
"Lxwe","L--x-we","Delken Member","Metasediments, alkali-feldspar, planar-parallel-bedded; metasediments, haematitic/magnetitic, calcsilicate, graphitic; locally sulphidic."
"Lxwn","L--x-wn","New Cornwall Member","Metasediments, calcsilicate, carbonaceous; iron formation, albitic."
"Lxww","L--x-ww","Wokurna Member","Metasiltstone, often haematitic."
"Ly","L--y","Palaeoproterozoic Grouping Y rocks","Informal ""grouping Y""; contains named units. Schist, quartzite, amphibolite and felsic volcanic rocks (Myola Volcanics, Broadview Schist). 1792 Ma."
"Ly1","L--y----01","Palaeoproterozoic Grouping Y unit 1","Broadview Schist and/or Myola Volcanics. Used for PORT AUGUSTA digitising."
"Lyb","L--y-b","Broadview Schist","Schist, thin-bedded, fine-grained, slaty to phyllitic fine-grained quartzite and amphibolite."
"Lyb1","L--y-b--01","Broadview Schist unit 1","Quartzite, laminated fine-grained . WHYALLA sheet."
"Lym","L--y-m","Myola Volcanics","Interbanded porphyritic rhyolite, rhyodacite, fine-grained felsic and hornblende rich gneisses and amphibolite."
"Lyw","L--y-w","Wire Dam Dolerite","Dolerite, thinner units finer grained and thicker units with gabbroic cores and doleritic chilled margins. Increasingly metamorphosed to amphibolite and foliated metabasalt to the south. Intrudes Broadview Schist metasediments as sills.  Age ~1790-1775Ma."
"Lz","L-z","Peter Pan Supersuite","Magmatic rocks, felsic and lesser mafic.  Intruded during the Kimban Orogeny and dated ~1750-1700Ma."
"Lz10","L-z-----10","Peter Pan Supersuite unit 10","Granite, leucocratic, riebeckite; granite, mottled, cream, brown, dark grey; granite, massive to weakly foliated. Based on Prot-gamma-k on YARDEA."
"Lz11","L-z-----11","Peter Pan Supersuite unit 11","Undifferentiated felsic rocks of Kimban Orogeny."
"Lz12","L-z-----12","Peter Pan Supersuite unit 12","Undifferentiated mafic rocks of Kimban Orogeny."
"Lz19","L-z-----19","Peter Pan Supersuite unit 19","Pegmatite, undeformed; inferred Kimban age.  PORT AUGUSTA revision."
"Lz8","L-z-----08","Peter Pan Supersuite unit 8","(Meta)dolerite dykes, fine grained weakly foliated, chloritised. Based on Prot-beta2 on KIMBA and Prot-beta1 on YARDEA. Intrudes ?ALs (Mt. Sturt)."
"Lzm","L-zm","Moola Suite","Granite, quartz monzonite, syenite, typically pink, medium-grained, k-feldspar-rich, mica-poor, alkalic to calcic, undeformed, or with flow alignment or sporadic weak-moderate foliation; diorite, monzodiorite, monzonite, gabbro, tholeiitic to calc-alkaline. ~1745-1735Ma (U-Pb)."
"Lzma","L-zm-a","Wade Amphibolite","Amphibolite, fine- to coarse-grained, massive recrystallised to gneissic, hornblende, clinopyroxene, plagioclase, biotite ± K-feldspar ± quartz."
"Lzmb","L-zm-b","Burkitt Granite","Hornblende granite, medium grained, equigranular, massive. Age 1655+/-61 Ma (Rb/Sr), 1687 Ma (K/Ar)."
"Lzmd","L-zm-d","Deuter Diorite","Diorite, medium- to coarse-grained, plagioclase, K-feldspar, quartz with minor hornblende and biotite. U-Pb age 1742 ± 6 Ma."
"Lzmg","L-zm-g","Gluepot Granite","Granite, mostly porphyritic, large pink K-feldspar phenocrysts, groundmass of m.g.-c.g. plagioclase, K-feldspar, quartz, biotite, minor tourmaline; late stage microgranite, pegmatite, aplite, quartz porphyry dykes and plugs. 207Pb/206Pb TIMS age ~1740 Ma."
"Lzmw","L-zm-w","Wortham Granite","Granite, medium-grained, equigranular: pink, K-feldspar, quartz, minor plagioclase, biotite, trace tourmaline, opaques, zircon, weakly foliated."
"Lzo","L-zo","Moody Suite","Leucogranite; microgranite; monzogranite; monzonite. A-type, U-Pb ages 1720-1701 Ma."
"Lzoh","L-zo-h","Chinmina Monzonite","Monzonite, massive, to weakly foliated, medium to coarse-grained, dark grey-black, phenocrysts of plagioclase, microcline and hornblende. LINCOLN sheet."
"Lzom","L-zo-m","Moreenia Monzogranite","Monzogranite, grey, coarse-grained; biotite monzogranite, minor garnet, probably grades to granite at Ungarra. LINCOLN sheet."
"Lzou","L-zo-u","Uranno Microgranite","Microgranite, grey, equigranular, fine to medium-grained, local weak foliation."
"Lzoy","L-zo-y","Yunta Well Leucogranite","Granite and pegmatite, medium to coarse-grained, muscovite. Variably foliated."
"Lzp","L-zp","Pinbong Suite","Granite to quartz monzonite, typically grey, plagioclase-rich, mica-bearing, weakly deformed to migmatitic, alkali-calcic; lesser gabbro, dolerite, tholeiitic to calc-alkaline. ~1735-1700Ma (U-Pb)."
"Lzp1","L-zp----01","Pinbong Suite unit 1","Gabbro; metagabbro; dolerite; U-Pb age ~1730-1710Ma."
"Lzp2","L-zp----02","Pinbong Suite unit 2","Granite, cream-pink muscovite. Based on Prot-gamma-a on KIMBA."
"Lzpc","L-zp-c","Carappee Granite","Granite, coarse-grained porphryitic,  weakly foliated. K-feldspar phenocrysts."
"Lzpm","L-zp-m","Middle Camp Granite","Grey, foliated, massive, biotite granite and granodiorite with pegmatite veins."
"Lzpo","L-zp-o","Colona Gabbro","Metadiorite to metagabbro: hornblende, plagioclase, biotite; metatonalite: hornblende, plagioclase, quartz, biotite. Intruded by dolerite and microdiorite dykes.  Amphibolite facies metamorphism, variable deformation. 207Pb/206Pb age 1727 ± 8 Ma."
"Lzpp","L-zp-p","Paxton Granite","Monzogranite, coarse-grained, K-feldspar-porphyritic; syenogranite, biotite-bearing, variably K-feldspar-porphyritic; very minor quartz monzonite, medium-grained, dykes or sills.  U-Pb age ~1715Ma."
"M","M-","Mesoproterozoic rocks","Undifferentiated Mesoproterozoic rocks."
"M-a","M----a","Alcurra Dolerite","Dolerite dykes, dark grey, medium to fine-grained, olivine tholeiite, ophitic to sub-ophitic texture. Locally occurs as a dense, shallow-dipping swarm.  ~1080 Ma."
